NAME OF COMPANY, ISIN NUMBER
Balkrishna Industries Limited,INE787D01026
Balkrishna Paper Mills Limited,INE875R01011
BALMER LAWRIE & CO.LTD.,INE164A01016
BALMER LAWRIE INVESTMENTS LTD.,INE525F01025
Balrampur Chini Mills Limited,INE119A01028
Balu Forge Industries Limited,INE011E01029
BALURGHAT TECHNOLOGIES LTD.,INE654B01014
BAMBINO AGRO INDUSTRIES LTD.,INE921D01013
BAMPSL SECURITIES LTD.,INE802A01037
Banaras Beads Limited,INE655B01011
BANAS FINANCE LTD.,INE521L01030
Banco Products (I) Limited,INE213C01025
BANDARAM PHARMA PACKTECH LIMIT,INE875N01036
Bandhan Bank Limited,INE545U01014
Bandhan Mutual Fund,INF194KB1KJ7
Bandhan Mutual Fund,INF194KB1KI9
Bang Overseas Limited,INE863I01016
BANGANGA PAPER INDUSTRIES LIMI,INE767M01029
Bank of Baroda,INE028A01039
Bank of India,INE084A01016
Bank of Maharashtra,INE457A01014
Banka BioLoo Limited,INE862Y01015
BANNARI AMMAN SPINNING MILLS L,INE186H01022
Bannari Amman Sugars Limited,INE459A01010
BANSAL ROOFING PRODUCTS LTD,INE319Q01012
Bansal Wire Industries Limited,INE0B9K01025
Banswara Syntex Limited,INE629D01020
Barak Valley Cements Limited,INE139I01011
BARODA BNP PARIBAS MUTUAL FUND,INF251K01SU9
BARODA BNP PARIBAS MUTUAL FUND,INF251K01TL6
BARODA EXTRUSION LTD.,INE927K01023
BARODA RAYON CORPORATION LTD.,INE461A01024
Bartronics India Limited,INE855F01042
BASANT AGRO TECH (INDIA) LTD.,INE473E01021
BASF India Limited,INE373A01013
Bata India Limited,INE176A01028
BATLIBOI LTD.,INE177C01022
Bayer Cropscience Limited,INE462A01022
Bazel International Limited,INE217E01014
BCC FUBA INDIA LTD.,INE788D01016
BCL Enterprises Limited,INE368E01023
Bcl Industries Limited,INE412G01024
BCPL Railway Infrastructure Li,INE00SW01015
BDH INDUSTRIES LTD.,INE278D01018
Beardsell Limited,INE520H01022
Bedmutha Industries Limited,INE844K01012
Beekay Steel Industries Ltd.,INE213D01015
BEEYU OVERSEAS LTD.,INE052B01011
Beezaasan Explotech Limited,INE13VU01016
BEFOUND MOVEMENT LIMITED,INE425F01028
Bella Casa Fashion & Retail Li,INE344T01014
Belrise Industries Limited,INE894V01022
BEMCO HYDRAULICS LTD.,INE142E01022
BEML Land Assets Limited,INE0N7W01012
BEML Limited,INE258A01024
Benara Bearings and Pistons Li,INE495Z01011
BENARES HOTELS LTD.,INE664D01019
Benchmark Computer Solutions L,INE0Q2Z01013
